"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1764818","Kiev  Gama and Didier  Donsez","","","","A Survey on Approaches for Addressing Dependability Attributes in the OSGi Service Platform","1--8","","8","OSGi service platform, SOA, dependability, service and component-based application","10.1145/1764810.1764818","SIGSOFT Softw. Eng. Notes","May 2010","35","3","","May","2010","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1562864","Norbert  Siegmund and Mario  Pukall and Michael  Soffner and Veit  K&#246;ppen and Gunter  Saake","","","","Using Software Product Lines for Runtime Interoperability","4:1--4:7","4","7","interoperability, runtime adaption, software product lines","10.1145/1562860.1562864","","","","","","","2009","","Proceedings of the Workshop on AOP and Meta-Data for Software Evolution","RAM-SE '09","","978-1-60558-548-2","Genova, Italy","ACM","New York, NY, USA"
"article","2245353","Ikbel  Guidara and Tarak  Chaari and Kaouthar  Fakhfakh","","","","Intention Based Semantic Approach for Service Sourcing","401--402","","2","Quality of Service (QoS), ontologies, semantic web, service sourcing","10.1145/2245276.2245353","","","","","","","2012","","Proceedings of the 27th Annual ACM Symposium on Applied Computing","SAC '12","","978-1-4503-0857-1","Trento, Italy","ACM","New York, NY, USA"
"article","2695739","Milena  Guessi and Dilvan A. Moreira and Gabriel  Abdalla and Flavio  Oquendo and Elisa Yumi Nakagawa","","","","OntolAD: A Formal Ontology for Architectural Descriptions","1417--1424","","8","architecture description, formal ontology","10.1145/2695664.2695739","","","","","","","2015","","Proceedings of the 30th Annual ACM Symposium on Applied Computing","SAC '15","","978-1-4503-3196-8","Salamanca, Spain","ACM","New York, NY, USA"
"article","1995646","Reginald  Ford and David  Martin and Daniel  Elenius and Mark  Johnson","","","","Ontologies and Tools for Analyzing and Synthesizing LVC Confederations","1387--1398","","12","","","","","","","","","2009","","Winter Simulation Conference","WSC '09","","978-1-4244-5771-7","Austin, Texas","Winter Simulation Conference",""
"article","1497355","Kareliotis  Christos and Costas  Vassilakis and Efstathios  Rouvas and Panayiotis  Georgiadis","","","","Exception Resolution for BPEL Processes: A Middleware-based Framework and Performance Evaluation","248--256","","9","exception handling, middleware, performance metrics, quality of service (QoS), scalability, web services","10.1145/1497308.1497355","","","","","","","2008","","Proceedings of the 10th International Conference on Information Integration and Web-based Applications & Services","iiWAS '08","","978-1-60558-349-5","Linz, Austria","ACM","New York, NY, USA"
"article","1497316","Vladimir  Stantchev and Christian  Schr&#246;pfer","","","","Techniques for Service Level Enforcement in Web-services Based Systems","7--14","","8","Formal representation, architectural translucency, nonfunctional properties, replication, service levels, system architecture, web services","10.1145/1497308.1497316","","","","","","","2008","","Proceedings of the 10th International Conference on Information Integration and Web-based Applications & Services","iiWAS '08","","978-1-60558-349-5","Linz, Austria","ACM","New York, NY, USA"
"article","2337342","Tarmo  Ploom and Stefan  Scheit and Axel  Glaser","","","","Methodology for Migration of Long Running Process Instances in a Global Large Scale BPM Environment in Credit Suisse's SOA Landscape","977--986","","10","","","","","","","","","2012","","Proceedings of the 34th International Conference on Software Engineering","ICSE '12","","978-1-4673-1067-3","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","1833345","Ta'id  Holmes and Huy  Tran and Uwe  Zdun and Schahram  Dustdar","","","","Model-driven and Domain-specific Architectural Knowledge View for Compliance Meta-data in Process-driven SOAs","64--71","","8","MDD, architectural knowledge, compliance","10.1145/1833335.1833345","","","","","","","2010","","Proceedings of the 2010 ICSE Workshop on Sharing and Reusing Architectural Knowledge","SHARK '10","","978-1-60558-967-1","Cape Town, South Africa","ACM","New York, NY, USA"
"article","1593257","Michele  Ruta and Floriano  Scioscia and Tommaso  Di Noia and Eugenio  Di Sciascio and Giacomo  Piscitelli","","","","Ubiquitous Knowledge-based Framework for RFID Semantic Discovery in Smart u-Commerce Environments","9--18","","10","802.11, RFID, SOA, knowledge representation systems, pervasive computing, resource discovery, semantic web, u-commerce","10.1145/1593254.1593257","","","","","","","2009","","Proceedings of the 11th International Conference on Electronic Commerce","ICEC '09","","978-1-60558-586-4","Taipei, Taiwan","ACM","New York, NY, USA"
"article","1774591","Marco  Comuzzi and George  Spanoudakis","","","","Dynamic Set-up of Monitoring Infrastructures for Service Based Systems","2414--2421","","8","SLA monitorability, run-time SLA monitoring","10.1145/1774088.1774591","","","","","","","2010","","Proceedings of the 2010 ACM Symposium on Applied Computing","SAC '10","","978-1-60558-639-7","Sierre, Switzerland","ACM","New York, NY, USA"
"article","2829922","Francisco  Iniesto and Covadonga  Rodrigo","","","","Accessible User Profile Modeling for Academic Services Based on MOOCs","55:1--55:2","55","2","Accessibility, MOOC, metadata, standards, user profiling","10.1145/2829875.2829922","","","","","","","2015","","Proceedings of the XVI International Conference on Human Computer Interaction","Interacci&#243;n '15","","978-1-4503-3463-1","Vilanova i la Geltru, Spain","ACM","New York, NY, USA"
"article","3233255","Daniel  Guija and Muhammad Shuaib Siddiqui","","","","Identity and Access Control for Micro-services Based 5G NFV Platforms","46:1--46:10","46","10","5G, Authentication, Authorization, DevOps, JSON Web Token, Keycloak, NFV MANO, identity, micro-services, network services, virtual network functions","10.1145/3230833.3233255","","","","","","","2018","","Proceedings of the 13th International Conference on Availability, Reliability and Security","ARES 2018","","978-1-4503-6448-5","Hamburg, Germany","ACM","New York, NY, USA"
"article","3058592","Hongbign  Wang and Xin  Chen and Qin  Wu and Qi  Yu and Xingguo  Hu and Zibin  Zheng and Athman  Bouguettaya","","","","Integrating Reinforcement Learning with Multi-Agent Techniques for Adaptive Service Composition","8:1--8:42","8","42","Service composition, game theory, multi-agent system, reinforcement learning","10.1145/3058592","ACM Trans. Auton. Adapt. Syst.","May 2017","12","2","","May","2017","1556-4665","","","","","","ACM","New York, NY, USA"
"article","2001830","Florin-Claudiu  Pop and Denis  Pallez and Marcel  Cremene and Andrea  Tettamanzi and Mihai  Suciu and Mircea  Vaida","","","","QoS-based Service Optimization Using Differential Evolution","1891--1898","","8","QoS, composition, differential evolution, genetic algorithms, optimization, selection, services","10.1145/2001576.2001830","","","","","","","2011","","Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation","GECCO '11","","978-1-4503-0557-0","Dublin, Ireland","ACM","New York, NY, USA"
"article","3097622","Per  Hurtig and Stefan  Alfredsson and Anna  Brunstrom and Kristian  Evensen and Karl-Johan  Grinnemo and Audun Fosselie Hansen and Tomasz  Rozensztrauch","","","","A NEAT Approach to Mobile Communication","7--12","","6","3G, 4G, LTE, MPTCP, NEAT, TCP, WLAN, cellular, heterogeneity, multiple paths, policies, transport selection","10.1145/3097620.3097622","","","","","","","2017","","Proceedings of the Workshop on Mobility in the Evolving Internet Architecture","MobiArch '17","","978-1-4503-5059-4","Los Angeles, CA, USA","ACM","New York, NY, USA"
"article","1321707","Leen  Lambers and Hartmut  Ehrig and Leonardo  Mariani and Mauro  Pezz&#232;","","","","Iterative Model-driven Development of Adaptable Service-based Applications","453--456","","4","automated analysis, graph transformations, live sequence charts, service integration, visual languages","10.1145/1321631.1321707","","","","","","","2007","","Proceedings of the Twenty-second IEEE/ACM International Conference on Automated Software Engineering","ASE '07","","978-1-59593-882-4","Atlanta, Georgia, USA","ACM","New York, NY, USA"
